trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
138,False,"{'e': 0.09681048252646021, 'a': 0.1}",30,19,17.66641819931974,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'e': 0.09575140283599869, 'a': 0.1}",20,11,15.31434483755897,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'e': 0.09489350653462311, 'a': 0.1}",30,14,-21.992116413843807,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
141,False,"{'e': 0.09338729227656732, 'a': 0.1}",25,17,-27.562417775810225,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
142,False,"{'e': 0.09264317437857132, 'a': 0.1}",20,0,34.90340419465695,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
143,False,"{'e': 0.090808716616802, 'a': 0.1}",25,11,22.145462389299517,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'e': 0.08954625245349057, 'a': 0.1}",20,0,35.64002810815072,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
145,False,"{'e': 0.08777311785450327, 'a': 0.1}",20,13,15.44248688626886,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'e': 0.0871608514619813, 'a': 0.1}",20,16,6.0832779781853015,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'e': 0.08681290441415829, 'a': 0.1}",25,18,12.661021803718155,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'e': 0.08620733604528572, 'a': 0.1}",25,2,19.420378354349758,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
149,False,"{'e': 0.08424719534309347, 'a': 0.1}",25,18,15.043754826401862,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'e': 0.08365952422426286, 'a': 0.1}",20,16,7.739044693004094,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'e': 0.083325554512083, 'a': 0.1}",20,11,16.028181690561755,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'e': 0.08257898910511527, 'a': 0.1}",20,3,29.61973197165687,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'e': 0.08118701162222909, 'a': 0.1}",20,15,10.401343139535877,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'e': 0.08078208971247929, 'a': 0.1}",30,14,33.146038100128145,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'e': 0.07949986145720786, 'a': 0.1}",25,11,9.57621249998051,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
156,False,"{'e': 0.0783946181521904, 'a': 0.1}",20,10,20.818403412785283,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'e': 0.07761457866840563, 'a': 0.1}",20,7,20.763504983661825,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'e': 0.07661211924986724, 'a': 0.1}",20,11,17.25402832356351,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'e': 0.07592570367998178, 'a': 0.1}",25,5,35.096037037707774,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'e': 0.07442227401699995, 'a': 0.1}",25,6,17.147995506510636,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
161,False,"{'e': 0.07302159935665936, 'a': 0.1}",30,16,2.650310218071316,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
162,False,"{'e': 0.07200641980374836, 'a': 0.1}",20,10,16.735053950630963,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'e': 0.07128994395557388, 'a': 0.1}",20,0,-0.07256381582316052,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
164,False,"{'e': 0.06987830848536646, 'a': 0.1}",25,18,13.771975708192462,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'e': 0.06939086835679777, 'a': 0.1}",25,15,17.486435556162427,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'e': 0.06870041768035805, 'a': 0.1}",20,14,6.662200445970384,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'e': 0.06828944931228448, 'a': 0.1}",20,9,16.655620012289877,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'e': 0.06754238177422452, 'a': 0.1}",25,15,4.98580142108008,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
169,False,"{'e': 0.0668703238465938, 'a': 0.1}",35,15,22.83271589901468,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
170,False,"{'e': 0.06554620271802433, 'a': 0.1}",20,12,17.299681613748838,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'e': 0.06502392499265983, 'a': 0.1}",30,20,14.15231970176436,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'e': 0.06437692612870125, 'a': 0.1}",30,21,18.84668888165828,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'e': 0.063800133254822, 'a': 0.1}",20,6,21.362736253960957,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'e': 0.06291315472622334, 'a': 0.1}",25,5,22.201080753970754,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
175,False,"{'e': 0.061667390796186744, 'a': 0.1}",20,4,28.94227748383821,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'e': 0.06068856403905322, 'a': 0.1}",25,20,7.549581558042406,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'e': 0.06038587856314221, 'a': 0.1}",20,8,21.15243841384847,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'e': 0.05966557846455646, 'a': 0.1}",20,12,16.776876672451497,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'e': 0.05919015805405483, 'a': 0.1}",20,13,14.51258305819511,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'e': 0.058777273728757934, 'a': 0.1}",20,10,-22.608985690279326,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
181,False,"{'e': 0.05819243008338615, 'a': 0.1}",20,14,3.3627626333059624,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
182,False,"{'e': 0.057844320874838456, 'a': 0.1}",30,7,22.140716735669496,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
183,False,"{'e': 0.05652908469032304, 'a': 0.1}",25,9,26.73635699325694,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
