trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
85,False,"{'e': 0.23574607655586352, 'a': 0.2}",30,3,5.007046899637746,"{0: 25, 1: 0, 2: 1, 3: 1, 4: 0}",1
86,False,"{'e': 0.22946609376090668, 'a': 0.2}",25,9,12.283661476139516,"{0: 14, 1: 2, 2: 0, 3: 0, 4: 0}",1
87,False,"{'e': 0.22582385189647586, 'a': 0.2}",30,0,11.027469339478108,"{0: 26, 1: 4, 2: 0, 3: 0, 4: 0}",0
88,False,"{'e': 0.2191497484416548, 'a': 0.2}",20,12,-9.791194510226637,"{0: 6, 1: 1, 2: 0, 3: 1, 4: 0}",1
89,False,"{'e': 0.21740354458263497, 'a': 0.2}",20,0,5.01490699754951,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
90,False,"{'e': 0.21309866597208482, 'a': 0.2}",20,7,-1.891091196768809,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
91,False,"{'e': 0.21034631237503254, 'a': 0.2}",25,6,-1.9051728824278658,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 0}",1
92,False,"{'e': 0.20638746062626045, 'a': 0.2}",20,1,-108.27092715905782,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 3}",1
93,False,"{'e': 0.20250311699218648, 'a': 0.2}",20,0,32.69641783432195,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
94,False,"{'e': 0.19849328661622387, 'a': 0.2}",20,8,-39.68550527308398,"{0: 9, 1: 2, 2: 0, 3: 0, 4: 1}",1
95,False,"{'e': 0.19612560169848642, 'a': 0.2}",30,19,-23.129526882330225,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
96,False,"{'e': 0.19398004229089189, 'a': 0.2}",20,0,33.05553921744839,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
97,False,"{'e': 0.1901389801015205, 'a': 0.2}",35,0,-92.88907080700422,"{0: 28, 1: 0, 2: 4, 3: 1, 4: 2}",0
98,False,"{'e': 0.18359922902771786, 'a': 0.2}",20,8,11.783403110668619,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
99,False,"{'e': 0.18140920470554706, 'a': 0.2}",20,0,22.795290707991526,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
100,False,"{'e': 0.17781706177801082, 'a': 0.2}",30,16,14.962130342107265,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
101,False,"{'e': 0.17534496794733406, 'a': 0.2}",20,0,20.862326237444726,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
102,False,"{'e': 0.1718729049529924, 'a': 0.2}",25,13,-4.849687497248253,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
103,False,"{'e': 0.16982275559145898, 'a': 0.2}",20,16,8.932467304535052,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
104,False,"{'e': 0.16914482134150513, 'a': 0.2}",20,10,3.269151362619251,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
105,False,"{'e': 0.1674618022486899, 'a': 0.2}",25,11,-8.650729213689747,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
106,False,"{'e': 0.16513367195526615, 'a': 0.2}",20,8,-8.421967223228851,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
107,False,"{'e': 0.16316391010001996, 'a': 0.2}",20,14,8.327008352065437,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
108,False,"{'e': 0.16218785772470118, 'a': 0.2}",25,19,7.28665227327784,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'e': 0.16121764412977677, 'a': 0.2}",25,11,14.15630801972017,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
110,False,"{'e': 0.15897632296821687, 'a': 0.2}",25,11,22.925618141874093,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'e': 0.15676616167489826, 'a': 0.2}",20,5,21.420394601226207,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
112,False,"{'e': 0.15443221759168632, 'a': 0.2}",30,10,30.71201045681601,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
113,False,"{'e': 0.1513742547991911, 'a': 0.2}",20,13,8.733727844166728,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'e': 0.15031833504640033, 'a': 0.2}",20,3,16.287775479327898,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
115,False,"{'e': 0.14778452178570287, 'a': 0.2}",30,9,39.79792914819637,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
